,len,metric,overall,overall_p,ts,cpp,java,py,rs,ts_p,cpp_p,java_p,py_p,rs_p
24,7,mccabe,0.11637494308403304,1.8711070263618307e-48,0.14709812442489073,0.03445403506417914,0.04888106491071091,0.23672868841211417,0.20522684155769977,3.665279737825808e-11,0.018125238651156155,0.0009690911687682775,5.32515781648515e-35,3.303080878310754e-25
25,7,fanout,0.18046571928744218,5.020472679302145e-95,0.1750547252415459,0.12204642500911034,0.14174153847858384,0.42806758927418315,0.2039778870280084,7.084841723651579e-13,2.328829643309742e-14,2.9602731025925417e-18,5.7064166524223864e-95,2.3733170725494506e-13
26,7,chars,0.2283254156620706,3.525758194189503e-148,0.1586214271336554,0.20482211042410473,0.1736268938082447,0.3875266874112101,0.18236623079904532,1.5492415937732244e-10,6.606564914470856e-37,3.9282916619693014e-26,1.1493695836774252e-76,8.508731730484742e-11
27,7,identifiers,0.1979268296352163,4.604430609222908e-112,0.1886219123821026,0.1096087303606022,0.1421318643438707,0.38077260307697275,0.13188225454397096,2.486699245689072e-14,1.0650783051491305e-11,4.483691970945171e-18,3.076832170304058e-74,2.581982613046087e-06
28,7,halstead,0.2402647996557963,7.200592978158343e-164,0.20562178298251668,0.13374895326833405,0.18566029258781638,0.4311366415633475,0.2542282899165664,1.0672285668744927e-16,1.1566825838878038e-16,1.2060668050735603e-29,1.4003204908134756e-94,1.439588438087272e-19
29,7,entropy,0.36294041550160266,0.0,0.2615093742811134,0.2878369230143442,0.3449926109420013,0.46882718665246026,0.44847667326247936,4.974500158289202e-26,3.778126866183023e-71,5.268866952868225e-98,2.1324838305027038e-111,2.3027610215460756e-57
30,8,mccabe,0.16407906184298077,2.0605613626974533e-90,0.1870008787828857,0.10575705001101564,0.10497041621543234,0.2868921024156023,0.20827786668177248,2.1810400324333517e-17,1.9747227978912923e-12,2.6514921593577885e-12,2.0146138254186293e-46,4.217930694606696e-22
31,8,fanout,0.1755143795718239,2.4571245880054434e-90,0.11690055107010125,0.12235697607268989,0.12053409899606628,0.49925367789070313,0.24177677387072258,5.300293433167772e-07,3.2888374504670875e-14,4.586787088312504e-14,2.8147167831088847e-117,3.809765688158566e-18
32,8,chars,0.21116931324657814,5.115214765314035e-128,0.1325369363431647,0.1560260361379826,0.16061193562368503,0.4309421821000366,0.26746078389720496,1.9231792852901085e-08,7.527200537971444e-22,1.8764304816377546e-23,2.292597914092055e-86,1.4744539226399012e-21
33,8,identifiers,0.1851015689941868,5.515828170792401e-99,0.14083456912176634,0.07184305881017712,0.12645770175442672,0.48040888475047133,0.15899515669919137,2.2506006320187022e-09,9.579338160282753e-06,3.701700579749584e-15,3.4543012677248467e-107,1.3762794384630944e-08
34,8,halstead,0.25892863727307136,1.8742416984167172e-191,0.18674594020614782,0.14184882115937966,0.1885797239767927,0.49752473031359595,0.3138550975032926,2.4338313324564037e-15,2.4718678156854415e-18,1.0395883626114027e-31,1.1287485957436654e-114,4.517937468896288e-29
35,8,entropy,0.37078946418150527,0.0,0.27900395452298565,0.28436515268347723,0.3582598289531127,0.47428418308745846,0.4833594144609822,2.7959559351724295e-32,1.2512055077783687e-68,9.065827882101544e-110,2.3577646629754506e-104,1.4590815227863714e-66
36,9,mccabe,0.1414751543874458,7.926229478937228e-61,0.23163950797334482,0.06502852875733603,0.09112172554119216,0.1877249322009878,0.2284727228693086,5.427250174697198e-22,7.917812923339899e-05,5.2998543006049e-09,1.4781910008363825e-20,5.662598130580905e-22
37,9,fanout,0.15905529682245378,2.7255477208841843e-69,0.16536933829501152,0.12926574789091877,0.12244476774138095,0.3637732339558406,0.1892002444409399,5.218299345922804e-11,9.270479841970318e-14,8.032520101572048e-14,1.6529061911215045e-66,2.3997892533015217e-11
38,9,chars,0.20263801749127455,5.400346405764217e-110,0.14835713537034786,0.18721100821477513,0.12626987588353328,0.3327609904456337,0.22751734742154234,5.668475281520444e-09,6.950212551132178e-27,1.9013517145564366e-14,4.246790202113383e-55,1.4248699798545875e-15
39,9,identifiers,0.18067115989791646,5.819229148171456e-88,0.1159641159293919,0.14390842007421356,0.0902381243180334,0.37851275045625143,0.12440368238448195,5.139231955694449e-06,1.4944467847809088e-16,4.3281148955057206e-08,7.163906765255473e-71,1.243506401326398e-05
40,9,halstead,0.22762936440193543,2.7903365211869974e-138,0.19261355561857324,0.17333349827736577,0.13027217014090955,0.4158056617919506,0.25537460292427966,3.899630739038812e-14,2.8016686906190236e-23,2.7912923741148527e-15,4.6707375919543594e-85,3.2263289592207447e-19
41,9,entropy,0.3469840921405021,0.0,0.29635416968090544,0.32762158390131246,0.2760978958721769,0.4240662310947689,0.40771368869263525,2.6315823872507038e-31,9.680013886649022e-79,6.393881056495678e-63,2.312573784660473e-88,2.0081031898016292e-46
42,10,mccabe,0.1676143701377194,8.734490172544823e-81,0.16993757097936757,0.07623006186655373,0.11238160124606587,0.33558653459926313,0.2026003060422282,1.1433191810174259e-12,3.7451903365030387e-06,1.1297454435260024e-12,1.9949872225668867e-52,4.996006192054808e-16
43,10,fanout,0.13271396242519215,4.957179257948384e-47,0.09442405782069545,0.10596104897284224,0.09054902456495176,0.4251622993901733,0.14884111073674752,0.0001506566351765809,7.062786514963213e-10,4.7598876484439366e-08,6.221678424210963e-75,4.2310003015898186e-07
44,10,chars,0.19972232530617182,3.7097600598414987e-103,0.10824903336768789,0.15745000648637042,0.16715140257397446,0.4231670398306678,0.20845880362758312,1.672887356223716e-05,7.585161490587297e-20,1.0918682093256843e-23,3.244915170957297e-73,1.8445309429126363e-12
45,10,identifiers,0.16680397962553836,1.2894876306038344e-72,0.10296915310536785,0.11850598759090238,0.10757673467609644,0.3903453247323601,0.10978212039532795,4.159770872300651e-05,6.565413943706056e-12,1.0360225426230341e-10,1.1398770503020337e-62,0.00020425414614477048
46,10,halstead,0.2342838127111925,3.311361075169781e-141,0.13646550648907327,0.17710937511649372,0.15155942130209885,0.48380990055573864,0.23436096136567836,5.742007974041918e-08,1.0944069977750463e-24,9.267413648373602e-20,3.459703691059485e-95,2.3523613985634563e-15
47,10,entropy,0.3426835081307546,1.0010909275409375e-299,0.19640196149225708,0.3046379785189305,0.31999524012549213,0.46381746538761326,0.37075243570305483,5.717023313472516e-15,1.1412511938530561e-69,3.2299436909938394e-82,1.2922036746409532e-87,5.047849502603271e-36
48,11,mccabe,0.1754920218860239,5.34989660430273e-84,0.19597861632111763,0.09683536189973461,0.14784713441200004,0.29346539456662357,0.18067733925080573,1.4075325313959939e-15,8.131778933905442e-09,2.998842441818424e-19,1.4721537710278643e-38,5.746427836568933e-12
49,11,fanout,0.15149961253667063,1.7017406158181926e-58,0.14435705561808312,0.10426358814335665,0.13097799245499736,0.4328250323415265,0.1255550272098061,1.2229682242983496e-08,2.0255356874583656e-09,2.444301588630529e-14,1.5621315803351704e-75,2.593232830471404e-05
