,repo,lang,metric,overall_mean,overall_median,comment_mean,comment_median,non_comment_mean,non_comment_median,cliffs_delta,mannwhitneyu_p,n_comment,n_non_comment,n_total
33,beam,java,identifiers,25.92187408147669,17.0,32.97284060552093,21.0,21.297186800350435,15.0,0.2140272692624044,1.0404141377466759e-123,6738,10273,17011
34,beam,java,halstead,125.32767400675552,62.907475208398566,172.42188452443816,89.85848369899593,94.43885959342488,53.150849518197795,0.22421259658806422,1.757516966884175e-135,6738,10273,17011
35,beam,java,entropy,4.162598993640448,4.1665658662452785,4.31783556267046,4.35989733189929,4.060780245258843,4.056564762130954,0.28419084779523174,2.1263249053228628e-216,6738,10273,17011
36,bitcoin,cpp,mccabe,3.2073548152193703,2.0,4.936383442265795,3.0,1.966541588492808,1.0,0.5343463575410012,3.0355212948841383e-271,2295,3198,5493
37,bitcoin,cpp,fanout,7.770435099217186,4.0,13.118954248366013,8.0,3.932145090681676,2.0,0.5388014840429953,3.248274405666038e-257,2295,3198,5493
38,bitcoin,cpp,chars,560.0633533588203,249.0,981.0244008714596,561.0,257.9665415884928,143.0,0.6238887049503979,0.0,2295,3198,5493
39,bitcoin,cpp,identifiers,36.50791916985254,18.0,63.05272331154684,39.0,17.458411507191997,11.0,0.6071745549029145,0.0,2295,3198,5493
40,bitcoin,cpp,halstead,299.43077517092973,110.36149671375915,554.7719299939178,292.2975823128256,116.18876443961082,58.084868764186275,0.6101899198981935,0.0,2295,3198,5493
41,bitcoin,cpp,entropy,4.292135810042144,4.350790075355876,4.77093266604871,4.850203890684421,3.9485339387053493,4.027462658769743,0.6287089834196482,0.0,2295,3198,5493
42,cassandra,java,mccabe,1.7030435621903353,1.0,2.5071937421427575,2.0,1.462400200643732,1.0,0.349325547462167,0.0,7159,23923,31082
43,cassandra,java,fanout,3.71353194775111,2.0,6.54504819108814,4.0,2.866195711240229,2.0,0.36662895565840203,0.0,7159,23923,31082
44,cassandra,java,chars,262.0707483430925,115.0,481.40187176980027,291.0,196.43552230071478,90.0,0.40106991189086266,0.0,7159,23923,31082
45,cassandra,java,identifiers,15.274628402290714,7.0,27.03045118033245,17.0,11.75667767420474,6.0,0.3857174479861026,0.0,7159,23923,31082
46,cassandra,java,halstead,77.2796011212568,25.26619429851844,153.61455881096478,79.2481250360578,54.43623021875214,18.575424759098897,0.39559981391851684,0.0,7159,23923,31082
47,cassandra,java,entropy,3.7830259171776923,3.784941827437642,4.187035287819041,4.3024498629973955,3.6621253994992484,3.666975715013942,0.4240423206275883,0.0,7159,23923,31082
48,core,ts,mccabe,2.3599940994246937,2.0,2.626688799741781,2.0,1.8862221494102227,1.0,0.25239587637314176,0.0,21687,12208,33895
49,core,ts,fanout,4.339312582976841,3.0,4.61636003135519,3.0,3.8471494102228045,3.0,0.06570833349197062,3.416214268151329e-24,21687,12208,33895
50,core,ts,chars,538.9618822835226,374.0,535.2146447180338,335.0,545.6186926605504,422.0,-0.16034279494495166,4.923320332938942e-133,21687,12208,33895
51,core,ts,identifiers,30.604189408467324,22.0,30.657167888596856,21.0,30.510075360419396,25.0,-0.10846593749110497,6.136789356982783e-62,21687,12208,33895
52,core,ts,halstead,133.7754462810229,76.14709844115208,146.99885309669568,79.9544533632097,110.28461865884935,70.30835464468075,0.11388385807226016,4.620934240730212e-68,21687,12208,33895
53,core,ts,entropy,4.353957839735587,4.384795487373133,4.415876203495068,4.408191160875131,4.243962463355194,4.34186497602557,0.10148450285882532,2.0141252222658905e-54,21687,12208,33895
54,deno,rs,mccabe,1.9933176810547228,1.0,3.108288770053476,2.0,1.5805493689680772,1.0,0.4237592418353587,1.0858700602777564e-170,1496,4041,5537
55,deno,rs,fanout,9.278490157124796,5.0,15.788101604278076,10.0,6.868596881959911,4.0,0.42983582715667085,2.7095164213339733e-134,1496,4041,5537
56,deno,rs,chars,590.9263138883872,328.0,1003.0855614973262,643.5,438.3427369463004,268.0,0.4390429249920931,2.6684541535035255e-139,1496,4041,5537
57,deno,rs,identifiers,40.863825176088135,25.0,67.24064171122994,46.0,31.09898539965355,20.0,0.418594102958049,7.449754476393304e-127,1496,4041,5537
58,deno,rs,halstead,342.86306714297166,146.94555522617034,644.1049308389875,370.40843620100776,231.34170409193496,112.58797503894243,0.4579057309635064,2.3744954073454016e-151,1496,4041,5537
59,deno,rs,entropy,4.340346973606303,4.351471804733238,4.751044131462757,4.810808026797215,4.188304670178128,4.208196592277087,0.5107203305159548,8.917813710964008e-188,1496,4041,5537
60,django,py,mccabe,2.973869921800496,2.0,3.6540656205420827,3.0,2.1918819188191883,2.0,0.36545709608308635,1.7241204090271006e-122,2804,2439,5243
61,django,py,fanout,4.848369254243754,3.0,6.111982881597718,4.0,3.3956539565395656,3.0,0.3202607240052429,1.6858293373968893e-90,2804,2439,5243
62,django,py,chars,468.14819759679574,288.0,595.3898002853067,389.0,321.8646986469865,225.0,0.3433193604403947,2.6955716106865578e-102,2804,2439,5243
63,django,py,identifiers,25.734312416555408,17.0,32.392296718972894,23.0,18.079950799507994,14.0,0.3322616785368995,5.217914377896918e-96,2804,2439,5243
64,django,py,halstead,119.26355438188483,64.5293250129808,159.823108710809,93.40465370320703,72.63420204965713,48.432042660922164,0.3460469697421653,6.702054337992209e-104,2804,2439,5243
65,django,py,entropy,4.267909276737765,4.2934661526189375,4.48566738800313,4.525354828842154,4.017563338243265,4.038909765557392,0.4885513227457524,4.337550169680166e-205,2804,2439,5243
66,dubbo,java,mccabe,2.6093092685574706,2.0,3.3965714285714284,3.0,2.364121729845168,2.0,0.28887326163781046,5.931747189467958e-80,1750,5619,7369
67,dubbo,java,fanout,5.964309947075587,4.0,8.709142857142858,6.0,5.109450080085424,3.0,0.3158286426156154,7.712007981100661e-90,1750,5619,7369
68,dubbo,java,chars,418.5391504953182,263.0,642.4434285714286,429.0,348.80565936999466,232.0,0.3641923067144637,1.797993634612135e-117,1750,5619,7369
69,dubbo,java,identifiers,23.14750983851269,15.0,33.462857142857146,24.0,19.93486385477843,13.0,0.33760465766659037,2.606243681048588e-101,1750,5619,7369
70,dubbo,java,halstead,123.33727814958135,66.60791492653966,194.3479561154858,123.08739286383464,101.22147703900423,55.35090589819676,0.3495055042839346,2.357735642461359e-108,1750,5619,7369
71,dubbo,java,entropy,4.17412446884655,4.181276369602582,4.430870120203526,4.464561251169053,4.094162751481412,4.0959686315799715,0.3816349630081611,8.351039788929074e-129,1750,5619,7369
72,elasticsearch,java,mccabe,2.3156422835359187,2.0,2.963736597208173,2.0,2.025952886919564,2.0,0.2531192953286858,0.0,19772,44234,64006
